Title,Year,Duration,Country,Genre,Director,Roles,Rating,Count
На игле,2023,1 ч 37 мин,Великобритания,драма,Дэнни Бойл,"Юэн Макгрегор, Юэн Бремнер",8.0,206 191
Дьявол носит Prada,2023,1 ч 33 мин,США,драма,Дэвид Фрэнкел,"Мэрил Стрип, Энн Хэтэуэй",7.7,642 006
Покажи мне Луну,2024,2 ч 48 мин,США,комедия,Грег Берланти,"Скарлетт Йоханссон, Ченнинг Татум",6.7,14 605
Знамение,2009,2 ч 33 мин,США,фантастика,Алекс Пройас,"Николас Кейдж, Роуз Бирн",6.9,294 102
Няньки,2022,2 ч 7 мин,США,комедия,Джон Парагон,"Питер Пол, Дэвид Пол",7.2,318 083
Эффект бабочки,2018,2 ч 13 мин,США,фантастика,Эрик Бресс,"Эштон Кутчер, Эми Смарт",8.2. топ 250,520 156
Москва слезам не верит,2015,2 ч 10 мин,СССР,мелодрама,Владимир Меньшов,"Вера Алентова, Ирина Муравьёва",8.4,764 855
Борат 2,2020,1 ч 35 мин,США,комедия,Джейсон Уолинер,"Саша Барон Коэн, Мария Бакалова",6.3,33 596
Спящая,2024,1 ч 50 мин,Испания,ужасы,Лаура Альвеа,"Альмудена Амор, Хавьер Рей",6.4,36 741
Обитель зла,2002,1 ч 40 мин,США,ужасы,Пол У. С. Андерсон,"Милла Йовович, Мишель Родригес",7.6,276 033
Монстры на каникулах,2012,1 ч 31 мин,США,мультфильм,Генндий Тартаковский,"Адам Сэндлер, Энди Сэмберг",7.7,441 574
Лулу и Бриггс,2021,1 ч 41 мин,США,комедия,Рид Кэролин,"Ченнинг Татум, Итан Сапли",7.4,548 290
Чтец,2008,2 ч 4 мин,США,драма,Стивен Долдри,"Рэйф Файнс, Кейт Уинслет",8.0,171 729
Собачье сердце,1988,2 ч 16 мин,СССР,драма,Владимир Бортко,"Евгений Евстигнеев, Владимир Толоконников",8.4. топ 250,430 117
Звездный десант,1988,N/A,США,фантастика,Пол Верховен,"Каспер Ван Дин, Дина Мейер",7.6,168 006
"Кожа, в которой я живу",1997,2 ч 4 мин,Испания,триллер,Педро Альмодовар,"Антонио Бандерас, Елена Анайя",7.3,196 128
Без ответа,2011,2 ч,США,боевик,Декстер Флетчер,"Крис Эванс, Ана де Армас",6.3,36 280
Операция «Колибри»,2023,1 ч 56 мин,Канада,драма,Ким Нгуен,"Джесси Айзенберг, Александр Скарсгард",6.7,70 336
Привидение,2018,1 ч 51 мин,США,мелодрама,Джерри Цукер,"Патрик Суэйзи, Деми Мур",8.2,357 353
Рождественские каникулы,1990,2 ч 7 мин,США,комедия,Джеримайя С. Чечик,"Чеви Чейз, Беверли Д’Анджело",7.1,16 879
Дитя человеческое,1989,1 ч 37 мин,США,фантастика,Альфонсо Куарон,"Клайв Оуэн, Клэр-Хоуп Эшити",7.3,159 506
Без обид,2006,1 ч 49 мин,США,комедия,Джин Ступницки,"Дженнифер Лоуренс, Эндрю Барт Фельдман",6.4,59 782
Рецепт любви,2023,1 ч 43 мин,Франция,драма,Чан Ань Хунг,"Жюльет Бинош, Бенуа Мажимель",7.5,13 267
Джек Ричер,2023,2 ч 15 мин,США,боевик,Кристофер Маккуорри,"Том Круз, Розамунд Пайк",7.2,264 130
Невероятный мир глазами Энцо,2012,2 ч 10 мин,США,драма,Саймон Кёртис,"Кевин Костнер, Майло Вентимилья",8.3,160 495
Нефариус,2019,1 ч 49 мин,США,триллер,Чак Конзелман,"Джордан Бэлфи, Шон Патрик Флэнери",6.3,16 247
Ангел-А,2023,1 ч 37 мин,Франция,фэнтези,Люк Бессон,"Жамель Деббуз, Рье Расмуссен",7.8,162 445
"Мама, я дома",2005,1 ч 31 мин,Россия,драма,Владимир Битоков,"Ксения Раппопорт, Юра Борисов",6.8,60 927
Новый Человек-паук,2021,1 ч 44 мин,США,фантастика,Марк Уэбб,"Эндрю Гарфилд, Эмма Стоун",6.9,353 463
Неспящие в Сиэттле,2021,N/A,США,мелодрама,Нора Эфрон,"Том Хэнкс, Мег Райан",7.7,91 885
Молодой человек,2012,2 ч 11 мин,Россия,комедия,Александр Фомин,"Павел Табаков, Данила Козловский",7.3,270 172
Агенты А.Н.К.Л.,1993,1 ч 45 мин,Великобритания,боевик,Гай Ричи,"Генри Кавилл, Арми Хаммер",7.6,262 863
Безумная свадьба,2022,1 ч 50 мин,Франция,комедия,Филипп де Шоврон,"Кристиан Клавье, Шанталь Лоби",7.3,105 319
Три богатыря и Конь на троне,2022,N/A,Россия,мультфильм,Дарина Шмидт,"Олег Куликович, Валерий Соловьев",7.5,634 340
Шпион,2015,1 ч 56 мин,США,боевик,Пол Фиг,"Мелисса Маккарти, Джейсон Стэйтем",7.1,263 555
Мысль о тебе,2014,1 ч 34 мин,США,драма,Майкл Шоуолтер,"Энн Хэтэуэй, Николас Голицын",6.8,28 412
Зомби по имени Шон,2021,1 ч 27 мин,Великобритания,ужасы,Эдгар Райт,"Саймон Пегг, Ник Фрост",7.3,182 010
Однажды в Америке,2021,N/A,США,драма,Серджио Леоне,"Роберт Де Ниро, Джеймс Вудс",8.3,169 054
Лобстер,2015,1 ч 59 мин,Ирландия,драма,Йоргос Лантимос,"Колин Фаррелл, Рэйчел Вайс",7.0,163 582
